EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
27867,822754,FUNNEL CAKE #5, ,3418 FRANKFORT AVE. #218,,LOUISVILLE,KY,40207,SELF-CONTAINED MOBILE FOOD UNITS,38.2538065,-85.6686727,5/27/2012 0:00,94,,FUNNELCAKE,
28520,822760,SANDWICH TRAILER #4, ,3418 FRANKFORT AVE. #218,,LOUISVILLE,KY,40207,SELF-CONTAINED MOBILE FOOD UNITS,38.2538065,-85.6686727,5/27/2012 0:00,96,,SANDWICHTRAILER,
28522,822758,CORN DOG/SAUSAGE #2, ,3418 FRANKFORT AVE. #218,,LOUISVILLE,KY,40207,SELF-CONTAINED MOBILE FOOD UNITS,38.2538065,-85.6686727,5/27/2012 0:00,96,,CORNDOGSAUSAGE,
28523,830598,CORN DOG #1, ,3418 FRANKFORT AVE. #218,,LOUISVILLE,KY,40207,SELF-CONTAINED MOBILE FOOD UNITS,38.2538065,-85.6686727,7/3/2012 0:00,97,,CORNDOG,
29773,869750,SHAWNEE MARKET, ,228 AMY AVENUE,,LOUISVILLE,KY,40212,SUPERMARKET WITH PROCESSING,38.2606,-85.8136,12/6/2012 0:00,93,,SHAWNEEMARKET,
29790,850048,ANGIO'S, ,3731 BARDSTOWN ROAD,,LOUISVILLE,KY,40218,FOOD SERVICE,38.1975,-85.6565,9/21/2012 0:00,97,A,ANGIOS,
29818,861800,HILLEBRAND HOUSE GROCERY, ,1235 S 3RD ST,,LOUISVILLE,KY,40203,PRE-PACKAGED RETAIL,38.2339,-85.7586,11/2/2012 0:00,98,A,HILLEBRANDHOUSEGROCERY,
29831,844205,V FOOD MART, ,4310 FEGENBUSH LANE,,LOUISVILLE,KY,40218,PRE-PACKAGED RETAIL,38.1868728,-85.6381116,6/5/2012 0:00,91,A,VFOODMART,
29862,899429,HAUCK'S HANDY STORE, ,1000 GOSS AVE,,LOUISVILLE,KY,40217,PRE-PACKAGED RETAIL,38.2277,-85.7364,4/9/2013 0:00,96,,HAUCKSHANDYSTORE,
29868,862214,GREENWOOD MARKET, ,7701 GREENWOOD RD,,LOUISVILLE,KY,40258,PRE-PACKAGED RETAIL,38.1477,-85.893,11/6/2012 0:00,93,,GREENWOODMARKET,
29918,871678,SILVER HEIGHTS IGA PIC PAC, ,9304 BLUE LICK RD,,LOUISVILLE,KY,40229,PRE-PACKAGED RETAIL,38.1142,-85.6908,12/12/2012 0:00,94,,SILVERHEIGHTSIGAPICPAC,
29920,867562,SPEEDY MART #7, ,10231 BLUE LICK RD,,LOUISVILLE,KY,40229,PRE-PACKAGED RETAIL,38.0967,-85.6959,11/28/2012 0:00,94,A,SPEEDYMART,
29928,817283,BROADWAY FOOD MART, ,4132 W. BROADWAY,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2498,-85.8208,6/4/2012 0:00,90,A,BROADWAYFOODMART,
29937,845791,FOOD MAX, ,800 EAST KENTUCKY STREET,,LOUISVILLE,KY,40204,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2367,-85.7406,9/11/2012 0:00,95,A,FOODMAX,
29956,872264,CVS / PHARMACY #6211, ,3721 LEXINGTON RD,,LOUISVILLE,KY,40207,PRE-PACKAGED RETAIL,38.2525,-85.66,12/13/2012 0:00,100,,CVSPHARMACY,
29967,826628,NEIGHBORHOOD FOOD MART, ,542 LAMPTON ST,,LOUISVILLE,KY,40203,PRE-PACKAGED RETAIL,38.2416,-85.7443,7/2/2012 0:00,94,,NEIGHBORHOODFOODMART,
29979,851997,CIRCLE K #75, ,1630 ARTHUR ST,,LOUISVILLE,KY,40217,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2227,-85.7519,10/1/2012 0:00,90,A,CIRCLEK,
29998,823206,PIC-PAC, ,2421 W MARKET ST,,LOUISVILLE,KY,40212,SUPERMARKET WITH PROCESSING,38.2595,-85.7909,6/21/2012 0:00,86,,PICPAC,
30043,810904,F & Y SUPERMARKET, ,3801 W. MARKET STREET,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2621,-85.8123,5/14/2012 0:00,91,A,FYSUPERMARKET,
30051,876459,RITE AID #4629, ,409 W. OAK ST,,LOUISVILLE,KY,40203,PRE-PACKAGED RETAIL,38.2352,-85.7609,1/3/2013 0:00,95,,RITEAID,
30059,886398,CVS  /PHARMACY #6208, ,2410 BARDSTOWN RD,,LOUISVILLE,KY,40205,PRE-PACKAGED RETAIL,38.223,-85.6884,2/13/2013 0:00,95,,CVSPHARMACY,
30075,871203,CVS / PHARMACY #6199, ,3130 PORTLAND,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,38.273878,-85.799462,12/11/2012 0:00,95,,CVSPHARMACY,
30085,821730,SPEEDWAY #9709, ,4239 POPLAR LEVEL ROAD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1974,-85.7077,6/15/2012 0:00,94,A,SPEEDWAY,
30090,892313,JIM DANDY FOOD MART, ,4902 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,PRE-PACKAGED RETAIL,38.1709,-85.685,3/11/2013 0:00,90,,JIMDANDYFOODMART,
30102,841179,FIVE STAR FOOD MART #863, ,3901 TAYLOR BLVD,,LOUISVILLE,KY,40215,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1877,-85.7831,8/22/2012 0:00,98,A,FIVESTARFOODMART,
30108,825889,SPEEDWAY #9515, ,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2226,-85.6691,6/28/2012 0:00,98,A,SPEEDWAY,
30153,856020,CIRCLE K #131, ,9401 WESTPORT RD,,LOUISVILLE,KY,40222,PRE-PACKAGED RETAIL,38.2862,-85.577,10/15/2012 0:00,98,,CIRCLEK,
30154,880619,CIRCLE K #117, ,9619 WHIPPS MILL RD,,LOUISVILLE,KY,40222,SUPERMARKET WITH PROCESSING,38.2693,-85.5784,1/17/2013 0:00,98,,CIRCLEK,
30162,811243,CORNER MARKET, ,358 N. 26TH STREET,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.266,-85.7933,5/15/2012 0:00,95,A,CORNERMARKET,
30165,817794,DERBY CITY PRODUCE, ,301 S. 18TH ST,,LOUISVILLE,KY,40203,PRE-PACKAGED RETAIL,38.2561,-85.7801,6/5/2012 0:00,90,,DERBYCITYPRODUCE,
30198,875878,SAVE-A-LOT #87, ,8704 NATIONAL TURNPIKE,,LOUISVILLE,KY,40118,PRE-PACKAGED RETAIL,38.1231,-85.7497,12/31/2012 0:00,96,,SAVEALOT,
30227,869751,DAIRY MART #3296, ,309 E ST CATHERINE ST,,LOUISVILLE,KY,40203,PRE-PACKAGED RETAIL,38.2367,-85.7507,12/6/2012 0:00,97,,DAIRYMART,
30242,808925,CURTIS MARKET, ,2720 DUNCAN,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2636,-85.7967,5/7/2012 0:00,94,A,CURTISMARKET,
